id,adult,budget,genres,original_title,overview,popularity,poster_path,release_date,revenue,runtime,tagline,title,actor_1,actor_2,actor_3,director,file_path_1,file_path_2,file_path_3
59,N/A,100000000,14,The Lego Movie 2: The Second Part,"시스타 행성의 지멋대로 여왕의 지시로 듀플로 외계인들이 레고 마을을 침공한다. 어마무시 장군이 친구들을 납치하자 에밋은 우주로의 여행을 떠나는데… 에밋과 친구들의 대모험, 이번엔 우주다! 준비됐나요?",54.046,/if4POmDLhJX4Cgiddr1PudDhde8.jpg,2019-01-26,190514361,106,외계인들에게 납치된 친구들을 구하러 우주로!,레고 무비 2,73457,9281,21200,Phil Lord,/8kPozGb4BDrcWBSsGPrkULG2tP9.jpg,/aD5KKGUphqW5XN5InTSID3TUBnh.jpg,/nLvDo1F9xQD4VdFNgtipti7lKYD.jpg
60,N/A,250000000,53,The Fate of the Furious,마침내 평화로운 일상으로 돌아온 리더 도미닉(빈 디젤)과 멤버들. 하지만 레티(미셸 로드리게스)와 쿠바에서 신혼을 만끽 중인 도미닉(빈 디젤)에게 불청객이 찾아온다. 전설적인 해커이자 테러 조직의 리더 사이퍼(샤를리즈 테론)는 도미닉을 협박해 자신의 명령을 따르게 한다. 멤버들은 도미닉이 사이퍼와 함께  사상 최악의 테러를 계획하고 있음을 알게 된다.  리더의 배신으로 위기에 놓인 멤버들은 한때 팀을 모두 전멸시키려 했던 데카드 쇼(제이슨 스타뎀)까지 영입해  최악의 적이 되어버린 도미닉과의 피할 수 없는 대결을 앞두게 되는데...,53.997,/h7tvYU9kN4pKjCIzUhf6PLNhQHT.jpg,2017-04-12,1238764765,136,"최강의 리더, 최악의 적이 되다",분노의 질주: 더 익스트림,12835,976,18918,Vin Diesel,/jzdnhRhG0dsuYorwvSqPqqnM1cV.jpg,/z1sdCwVIqm49BMZSSXUgYTtx3Bh.jpg,/pEL81RWzS3LaybTCf7vp2KvVLhw.jpg
61,N/A,140000000,878,Captain America: The First Avenger,"진주만 공습을 겪은 미국은 선전포고를 하고 제2차 세계대전에 발을 들인다. 스티브 로저스(크리스 에반스)는 왜소하고 마른 체격으로 인해 입대마저 번번히 거부당하지만, 포기를 모르는 근성과 강한 희생 정신을 인정받아 최고의 전사를 양성하는 슈퍼 솔져 프로젝트에 스카우트된다. 비밀리에 진행된 실험을 통해 가장 완벽한 육체와 인간의 한계를 초월한 신체 능력을 얻게 된 스티브는 모두에게 캡틴으로 불리며 영웅으로 새롭게 태어난다. 하지만 거대한 히드라 조직을 앞세운 적의 공격은 한층 막강해지고, 그 핵심에 선 레드 스컬은 인류를 위협하는 최후의 전투를 준비하는데...",47.875,/fmD5UwELxKUgy7ULyVnIPjVrefL.jpg,2011-07-22,370569774,123,"포기를 모르는 자, 최초의 슈퍼히어로로 깨어나다",캡틴 아메리카: 퍼스트 어벤져,16828,39459,60898,Joe Johnston,/pmZtj1FKvQqISS6iQbkiLg5TAsr.jpg,/3qlzyunDrkwWOKEWZRxeIF4HEUC.jpg,/1ueWzFe8Klk5WDurB5j8yl5qdaq.jpg
62,N/A,100000000,53,Robin Hood,돈과 권력을 앞세운 권력층으로 인해 모두가 힘들어진 시기.  전쟁에서 죽은 줄 알았던 귀족 가문의 스무살 청년 ‘로빈’이 나타난 뒤 부자들의 돈만 훔친다는 후드를 쓴 남자에 대한 소문이 들려온다. 정체를 알 수 없는 그에게 막대한 현상금이 걸리지만 번번이 잡는데 실패하고 신출귀몰한 후드의 활약에 사람들도 점차 동요하기 시작하는데…,52.585,/bgclwqkAvhsn7a1MuIwHpXKQaSx.jpg,2018-11-20,73260114,116,우리가 기다려온 새로운 영웅의 탄생! 세상을 뒤집을 통쾌한 한방이 시작된다.,후드,1303037,134,77335,Leonardo DiCaprio,/axjFiijtxdfK3CD9dMwrdgLwblD.jpg,/jU1QYkmhGBTaROH2hphDN5tKCKE.jpg,/fgzpAVcDMzkrIYgQ9ILU97n1peo.jpg
63,N/A,67000000,10752,The Last Legion,"AD 460, 로마제국은 800여년간 강력한 통치력을 발휘하여, 동쪽으로는 메소포타미아, 서쪽으로는 이베리아 반도, 남쪽으로는 이집트, 북쪽으로는 라인강과 다뉴브강에 이르기까지 실로 제국이라 할 만한 맹위를 떨치고 있었다. 12살의 Romulus Augustus가 새 로마제국의 황제가 되는 전날, 바바리안(고트족)의 장군 Odoacer가 부대를 이끌고 로마시 외곽에 자리를 잡는다. 로마제국을 계속 지원하겠으니 자신들의 동남쪽지역 통치를 부정하지 말라는 조약을 맺기 위해 찾아온 것이다. 그러나 로마제국의 황제 Orestes는 이를 거절한다.  다음날 예정대로 Augustus는 새 황제가 되었다. 이때 전 황제 Orestes의 스승인 Ambrosinus가 로마제국의 위험을 예견한다. 그는 일종의 예언과 마법도 하는것으로 알려져 있는 사람이었다. 걱정이 된 아버지는 제4군단장인 Aurelius에게 어린 새 황제의 보호를 맡긴다. 그날 밤. Odoacer는 고트족 부대를 이끌고 축제로 들뜬 로마를 기습한다. 전 황제 Orestes와 아내 Julia를 죽인후 로마를 철저히 파괴한다.  어린황제 Augustus는 사로잡아 타이베리우스 황제가 세웠던 카프리의 감옥에 가둔다. 기습에서 살아남은 제4군단장 Aurelius는 남은 사람들을 모아 어린황제를 구하기 위해 카프리로 향한다. 비잔티움(콘스탄티노플)에서 왔다고 하는 Mira라는 여전사도 함께 떠난다. 구조대가 오고 있는동안, 감옥안에서 줄리어스 시저의 동상을 발견한 Augustus는 예언이 적혀있는 검을 발견한다. 그 예언은 브리타니아의 새 왕을 예견하는 검이었다.  카프리의 감옥에서 Augustus를 무사히 구한 구조대는 Orestes와 맞서 싸우기 위해 로마의 마지막 군단인 제9군단-용의 군단-을 찾아 브리타니아로 떠난다. 브리타니아에 도착한 그들은 제9군단의 흔적을 발견한다. 그리고 자신감을 잃어가는 한무리의 사람들이 그토록 찾아헤매던 제9군단임을 알게되는데...",33.188,/7Nc8q21lPfpHEjBAfuI2P3pJcl2.jpg,2007-04-19,25303038,102,N/A,마지막 군단,5472,2282,87773,Doug Lefler,/pZRC8VRTaQ9d6NHR0enOjKVLJjo.jpg,/w9FP59FMKZEl7LMRaIj3Z7ckjQ1.jpg,/k6V0DOZos8Fcf8KGQ2VMaLRDkrZ.jpg
64,N/A,170000000,14,Thor: The Dark World,"어벤져스의 뉴욕 사건 후, 다시 신들의 고향인 아스가르드 왕국으로 돌아간 토르(크리스 헴스워스)와 로키(톰 히들스턴). 지구를 위협한 로키는 지하 감옥에 갇히고, 토르는 아버지 오딘(안소니 홉킨스)과 함께 우주의 질서를 재정립하기 위해 나선다. 1년 후, 지구에 혼자 남은 제인(나탈리 포트만)은 우연히 태초부터 존재해왔던 어둠의 종족 다크 엘프의 무기 에테르를 얻게 된다. 이 사실을 안 다크엘프의 리더 말레키스는 에테르를 되찾기 위해 제인과 아스가르드를 공격하고, 토르는 사랑하는 여인 제인과 아스가르드 왕국을 지키기 위해 로키에게 위험한 동맹을 제안하게 된다.",51.206,/7Cf6P1bsgrRqpvjsNyMr74Dvm8g.jpg,2013-10-29,644571402,112,태초의 어둠에 맞서기 위한 위험한 동맹이 시작된다!,토르: 다크 월드,74568,524,91606,Alan Taylor,/3FweBee0xZoY77uO1bhUOlQorNH.jpg,/nEyQyVqjF13ToMxMHUzfro8b4U1.jpg,/90seuFwm25GWNbF1ydkaPa4DrdO.jpg
65,N/A,N/A,28,葉問外傳：張天志,"영춘권 일인자 엽문에게 패배한 뒤, 무술계를 떠나 아들과 함께 평범한 삶을 살아가던 ‘장천지’ 우연히 암흑 조직에 쫓기던 한 여자를 도와준 그는 이후 생계는 물론, 목숨마저 위협받게 된다. 술과 마약 등 불법 사업을 확장해나가던 조직이 장천지의 주변 사람들까지 죽음으로 몰고 가자 더 이상 참지 못한 그는 정의를 위해 최후의 결전을 벌이게 되는데…",51.098,/oVrm99JDN7j5Zu2yKqTINIMXasC.jpg,2018-12-20,N/A,107,"엽문에 가려진 또 한 명의 영춘권 마스터, 장천지 2월. 모두의 가슴을 뜨겁게 할 새로운 전설이 탄생한다!",엽문 외전,1183808,543530,1185787,Yuen Woo-ping,/grtVFGJ4ts0nDAPpc1JWbBoVKTu.jpg,/zjeGNkEu134qo4DBFZvHi3IRDgg.jpg,/nv4KsjnhcSIZtuw2mkT9IxoQ5oq.jpg
66,N/A,130000000,35,Mary Poppins Returns,"체리트리 가 17번지에 살고 있는 마이클과 세 아이들은 아내와 엄마를 잃고, 집까지 빼앗길 위기에 처해 슬픔에 잠긴다. 어느 날, 바람의 방향이 바뀌고 마이클의 가족에게 다시 돌아온 ‘메리 포핀스’는 사랑스러운 마법으로 가득 찬 황홀한 경험을 선사하는데…",50.799,/qHUAcbs57DXdCS2jvgNqqfq2L7.jpg,2018-12-13,348807090,131,모두가 기다려온 가장 황홀한 경험,메리 포핀스 리턴즈,5081,1179651,17064,Rob Marshall,/cwiJQXezWz876K3jS57Sq56RYCZ.jpg,/3pvIMjJps4uJr5NOmolY0MXvTYD.jpg,/ahMgQHtqED78PMNuI5Fad8JpBCP.jpg
67,N/A,4000000,9648,Maggie,"좀비 바이러스로 인해 폐허가 된 세상,  ‘웨이드’는 편지 한 통만을 남긴 채 갑자기 사라진 딸 ‘매기’를 찾아 헤맨다.  가까스로 찾은 ‘매기’는 좀비 바이러스에 감염된 상태.  그런 딸을 차마 격리시설에 보낼 수 없는 ‘웨이드’는 어렵사리 ‘매기’를 집으로 데려온다.  ‘웨이드’는 희망을 놓지 않고 ‘매기’를 지극 정성으로 보살피지만,  점점 좀비의 본능이 강해지는 ‘매기’로 인해 마을 사람들은 모두 불안에 떨고  그녀를 딸처럼 아끼던 새엄마 마저 집을 떠나고 만다.  결코 딸을 포기할 수 없는 아빠와, 아빠를 해칠까 두려운 딸.  이들은 어떤 선택을 하게 될까?",50.705,/wOkgQgimnScuFCF50l69zzFkHQb.jpg,2015-05-08,187112,95,"어느 날, 내 딸이 좀비가 되었다. 세상에서 가장 슬픈 좀비 이야기가 온다",매기,1100,17140,20810,Henry Hobson,/uCI4vNT4u9xOIU3pKV3qeaFcuO9.jpg,/obaUEqQhCp9BMGzMRkJIzk1L9Aa.jpg,/lyYJvgJtJAvz4VIoXsVAAL5lP9T.jpg
68,N/A,52000000,10402,Bohemian Rhapsody,"공항 수하물 노동자로 일하며 음악의 꿈을 키우던 이민자 출신의 아웃사이더 파록 버사라. 보컬을 구하던 로컬 밴드에 들어가게 되면서 프레디 머큐리라는 이름으로 밴드 퀸을 이끌게 된다. 시대를 앞서가는 독창적인 음악과 화려한 퍼포먼스로 관중들을 사로잡으며 성장하던 퀸은 방송에서 외면을 받을 것이라는 음반사의 반대에도 불구하고 무려 6분 동안 이어지는 실험적인 곡 보헤미안 랩소디로 대성공을 거두며 월드스타 반열에 오른다. 그러나 독보적인 존재감을 뿜어내던 프레디는 솔로 데뷔라는 유혹에 흔들리게 되고, 오랜 시간 함께 해왔던 멤버들과 결별을 선언하게 되는데...",50.326,/z0lKvIIJGzTBIa22aC0ZhxBxf23.jpg,2018-10-24,835137710,134,"나는 스타가 되지 않을 것이다, 전설이 될 것이다",보헤미안 랩소디,17838,1220123,1452045,Anthony McCarten,/93xA62uLd5CwMOAs37eQ7vPc1iV.jpg,/xcaSYLBhmDzJ6P14bcKe0KTh3QV.jpg,/9441r6izIG2t46C2W1XoKYVN1o.jpg
