id,adult,budget,genres,original_title,overview,popularity,poster_path,release_date,revenue,runtime,tagline,title,actor_1,actor_2,actor_3,director,file_path_1,file_path_2,file_path_3
173,N/A,N/A,10751,猫の恩返し,"17살의 평범한 여고생 하루는 매일 따분하기만 하고 즐거운 일이 하나도 없다. 어느 날 우연히 트럭에 치일 뻔한 고양이를 구해주면서부터 그녀의 일상은 변화를 맞는다. 하루가 구해준 고양이가 고양이 왕국의 룬 왕자라는 것. 그날 밤 하루의 집에 찾아온 고양이 떼는 자신들의 왕자를 구해준 보답으로 룬 왕자와 결혼해달라는 요청과 함께 앞으로는 행복한 일들만 일어날 것이라는 이상한 말을 남긴 채 사라진다. 얼마 후 고양이 왕국으로 초대된 하루는 고민 바쁜 일도 없이 즐거운 일만 고양이 왕국에 점차 매료되지만, 고양이 왕국의 대왕이 하루를 며느리 감으로 생각하고 룬 왕자와 결혼시키겠다고 하자 고민에 빠지는데...",28.078,/53QuOAcqx1ZgRLPC4TqoUtiNZjl.jpg,2002-07-19,522911,75,"유난히 심심한 하루, 고양이 왕국에 초대받다",고양이의 보은,118651,96569,31079,Hiroyuki Morita,/jKoSzpjSKRFhq7LiKe1xtuhRy1m.jpg,/tZ1nTCUFr0cMqKKoATzCFRA0LLB.jpg,/ihUMtMZIe0D1Y6F7zDaFU8h7pOH.jpg
174,N/A,N/A,53,Eight Legged Freaks,"미국의 작고 외진 한 폐광촌.
 산업 폐기물을 싣고 가던 덤프트럭이 전복되어 마을의 강가에 산업폐기물이 노출된다. 인근 부근 거미농장의 주인은 매일마다 강가에서 잡은 귀뚜라미를 거미들에게 공급한다. 귀뚜라미를 먹은 거미들은 며칠사이 2-3배 크기로 급성장을 하게 되고, 급기야 주인을 공격해 목숨을 빼앗는다. 폐기물에 노출되어 비정상적으로 커진 이들 거미떼는 평화로운 광산촌을 덮치게 되고, 마을은 아수라장이 된다. 마침 십년 만에 마을에 돌아온 광산 엔지니어 크리스(데이빗 아퀘트 분)가 옛 애인이자 마을의 보안관인 샘(캐리 뷰러 분)과 손잡고 마을 사람 구조에 앞장선다. 거미떼를 외계인이라고 믿고 있는 케이블 방송국 DJ인 할란(더그 E. 더그 분)과 거미의 생리를 꿰고 있는 샘의 어린 아들 마이크도 적극 동참하지만 무차별적인 거미떼의 습격에 속수무책이다.  암컷의 환심을 사기위해 사람을 산채로 거미줄로 둘둘 말아서 보관하는가 하면, 대형버스를 장난감처럼 흔들어 엎고, 눈깜짝할 사이 타조를 먹어치우는 등 괴물 거미떼들의 거칠고 무차별적인 습격에 아수라장이 된 마을 사람들은 목숨을 부지하기 위해 마을의 대형 마트에 총집결 한다. 통제불능의 거칠고 거대한 거미떼들과 목숨을 건 마을 사람들과의 한판 전쟁이 시되는데….",24.021,/9A8sswo13u51xlO6iE0zCbPQGVK.jpg,2002-07-17,17000000,99,N/A,프릭스,15234,56152,56153,Ellory Elkayem,/tJvUIBio1BKQt9K1peLiYVPgYGr.jpg,/qDca7aIgbvJMtutE9KMzZbnWppI.jpg,/hN9T2jgX1FXT8kimepOzosXgZZd.jpg
175,N/A,150000000,10751,Frozen,"서로가 최고의 친구였던 자매 엘사와 안나. 하지만 언니 엘사에게는 하나뿐인 동생에게조차 말 못할 비밀이 있다. 모든 것을 얼려버리는 신비로운 힘이 바로 그 것. 엘사는 통제할 수 없는 자신의 힘이 두려워 왕국을 떠나 북쪽 산으로 도망치고, 홀로 그곳에서 얼음 궁전을 지어 지내게 된다. 한편 얼어버린 왕국의 저주를 풀기 위해 안나는 언니를 찾아 나서고, 그 과정에서 안나는 까칠한 매력의 얼음장수 크리스토프와 만나 영원히 얼어붙은 왕국을 구해내기 위해 함께 고군분투한다.",29.877,/9CiSFdTxK6HxsFJCCCOsXsFNgo8.jpg,2013-11-27,1274219009,108,진정한 사랑만이 얼어붙은 마음을 녹일수 있어,겨울왕국,40462,19394,221611,Chris Buck,/cN9Nbwh66TRcj2gBE8cSEZulsx3.jpg,/rlIXLdmmLBLSIpeK1P8QgULjnZw.jpg,/dw32EHPT3DJXc45nfiAF1jA0nnI.jpg
176,N/A,50000000,9648,Absolute Power,"루터 휘트니(Luther Whitney: 클린트 이스트우드 분)는 완벽한 직업 도둑으로, 늘 혼자 일하고 속임수와 변장에 능하다. 하지만 이제 고령이 된 그는 마지막 한탕을 준비, 워싱턴 DC의 거부이자 정계 막후 실력자인 월터 설리번(Walter Sullivan: E.G. 마샬 분)의 집을 털 계획을 세운다.  80이 넘은 설리번은 아내와 사별한 뒤 젊은 아내 크리스티와 함께 살고 있는데, 두 사람은 바하마로 여행을 떠난다는 것이다. 그의 집에 침입한 루터는 조심스레 전자경보장치를 뚫고 2층 침실에 들어서는데, 침실 벽의 비밀 유리문을 발견한다. 그 안엔 밖에서 보다 더 많은 보석과 현찰들이 넘쳐나고 있었다. 루터가 이것저것 쓸어담고 있는 사이, 밤새 텅 비어있어야 할 그 집에 누군가 들어오고 있음을 느낀다. 서둘러 유리문을 안에서 닫는 루터는 그때부터 차마 못볼 광경들을 보게 된다.  그 유리는 이중창으로 되어있어 밖에서는 거울이지만 안에서는 밖이 훤히 들여다 보이게 되어있었기 때문이다. 방안으로 들어선 두 남녀는 이미 술에 취해 정신이 없다. 두 사람은 변태적인 관계를 하는가 싶더니 남자가 여자를 사정없이 때리자, 여자가 칼로 남자의 팔을 찌르고 이어 목을 겨누는 순간, 갑자기 총성이 울리는데...",24.318,/oJQdp09Oc51DkArsMDvgDLdWiDu.jpg,1997-02-14,50068310,121,N/A,앱솔루트 파워,190,193,228,Clint Eastwood,/zDSAJ8xpbq1jekZOT2DL9yasMEv.jpg,/5sPo9OrfKOu71ABtLLdHf1eXdlZ.jpg,/ijJiuIzM2YmJyiHTKnH6GXz8LFZ.jpg
177,N/A,15000000,18,Maps to the Stars,"그녀가 찾아온 후… 모든 것이 흔들리기 시작했다.  어느 날 지도 한 장을 들고 홀연히 할리우드에 나타난 미스터리 소녀 ‘애거서’. 그녀가 여배우의 매니저 일을 하기 위해 할리우드에 나타난 후 모든 이들과 실타래처럼 엮이면서 그들의 비밀이 수면 위로 떠오르기 시작한다. 이번 배역만은 꼭 따내야 하는 위기의 여배우 ‘하바나’, 최고의 아역스타였지만 이제는 한물간 ‘벤지’와 그의 부모, 할리우드 스타를 꿈꾸는 렌트카 운전 기사 ‘제롬’. 그들과 ‘애거서’의 엉킨 이야기들이 하나씩 풀어지게 되는데…",25.021,/utBm9s28eaUKbZbbLqEbirROYDV.jpg,2014-05-21,1338365,112,할리우드에 나타난 소녀 그녀가 모두를 뒤흔든다!,맵 투 더 스타,1231,76070,3036,David Cronenberg,/i1DPN19CK8rTkwyMS9iy4D9iRAO.jpg,/jC0dueCIcS2eMaB1kGunUsGTYeR.jpg,/sEdDk6dCa7Q0uHYtND315XxCbyf.jpg
178,N/A,39000000,14,Welcome to Marwen,2010년 제프 말버그의 다큐멘터리 마웬콜을 바탕으로 폭행을 당해 뇌손상을 당한 마크 호건캠프가 정신을 회복할 수 있는 방법으로 제2차 세계대전 배경의 미니어처를 만드는 이야기를 그린다.,28.185,/o45VIAUYDcVCGuzd43l8Sr5Dfti.jpg,2018-12-21,12780692,116,N/A,웰컴 투 마웬,4495,41087,28044,Robert Zemeckis,/q9hnJ9SzwcF30seRtXEzLd5l1gw.jpg,/gXsxGh99jLG7TflYYgeCLkpiHzR.jpg,/n2403Sy0L5afML2rLGPPt4LgRAF.jpg
179,N/A,N/A,10749,I Give It a Year,"첫 만남은 운명, 연애할 땐 사랑, 결혼 후엔 실수?!
 더도 말고 딱 1년 만에…
 내 남편을 죽이고 싶어졌다!  첫 만남 후, 불 같은 사랑에 빠져 초스피드로 결혼에 골인한 ‘냇’(로즈 번)과 ‘조쉬’(라프 스팰).
 매일 행복할 줄만 알았는데 “일년만 살아봐!”라는 주변 사람들의 말처럼 결혼 생활이 순탄치만은 않다.
 남편 조쉬는 하루 종일 소파에만 앉아 어설픈 유머를 날리는가 하면, 청소는커녕 쓰레기를 휙~휙 던져 놓고 급기야 회사모임에 동석해 진상댄스를 선보이기 까지… 운명의 남자에서 인생 최악의 밉상으로 변해버렸다!
 그러던 중, 냇에게는 매력적인 클라이언트 ‘가이’(사이먼 베이커)가 나타나 거부할 수 없는 애정공세를 펼치는데…  깨물어주고싶던 남자가 깨물어죽이고싶은 남편이 되어버린 결혼 1년 차 냇!
 과연 그녀는 행복한 결혼 1주년을 맞을 수 있을까?",22.564,/a4zJ78pZyryKo9pmQ50A1jgq5Xt.jpg,2013-02-08,28234657,97,너는 내 운명에서 너는 내 실수 되기까지,저스트 어 이어,28847,9827,1772,Dan Mazer,/9498vD4khnvpiKIWgr0KyxtThxS.jpg,/ki7QYjZwKL3oJzwo1Lzl8CBNppi.jpg,/lftYQq2JUdO4XzDbm16HBlmsuyN.jpg
180,N/A,145000000,10751,How to Train Your Dragon 2,"바이킹과 드래곤이 친구가 되어 평화롭게 살아가는 버크섬.  청년이 된 히컵은 아버지 스토이크의 바람과는 달리  족장이 되는 것 보다 버크섬 밖의 더 넓은 세상을 보고 싶어한다.  그러던 어느 날, 신비로운 얼음대륙을 탐험하던 히컵과 투슬리스는
 드래곤 사냥꾼들이 쳐놓은 덫에 걸리고,  드래곤들을 위협하는 강력한 어둠의 존재에 대해 알게 된다.  히컵과 투슬리스는 드래곤들의 평화를 위해  의문의 드래곤 군단과 맞서기로 결심하는데…",27.078,/zoCRRFbMRchtu1QY174MaalcwPf.jpg,2014-06-09,609123048,102,"더 높이, 더 멀리, 더 힘차게! 우리의 진짜 모험은 지금부터다!",드래곤 길들이기 2,449,112,17276,Bonnie Arnold,/mrxKRSlf0iY0T2BLKpSSmu86X9t.jpg,/cHTJxPcq3hlshzOgHDRMCF8Wb9K.jpg,/kxMnGToxk5EtDhTBuz3kkZPzg1b.jpg
181,N/A,N/A,12,A Goofy Movie,N/A,30.367,/bycmMhO3iIoEDzP768sUjq2RV4T.jpg,1995-04-07,35348597,78,N/A,A Goofy Movie,84213,61983,43125,Chris Matheson,/ijDUMFmb34Fv7jBwxzhNc3lbVP3.jpg,/vXqId8RzQyiy2lQXcv2IiFAhkUh.jpg,/asjeKx39jyfe7pUFChhMNXb2yvK.jpg
182,N/A,N/A,80,Regression,"전 세계를 미궁에 빠트린 충격 실화!  천사 같은 소녀 안젤라의 비밀을 밝혀라!  한 소녀(엠마 왓슨)가 아빠를 고발하는 사건이 발생한다. 하지만 피의자로 붙잡힌 아빠는 그 어떤 혐의도 부인하고, 사건을 담당하게 된 형사(에단 호크)는 수사를 진행할수록 두 사람의 진술이 거짓이 아님을 확신하게 된다. 피해자는 있지만 범인은 없는 사건, 그 과정에서 마을 모두가 비밀을 감추고 있음을 알게 되는데…  어긋난 욕망이 만들어낸 충격의 대반전!  안젤라의 비밀이 밝혀지는 순간, 상상조차 불가능한 엄청난 결말이 기다린다!",23.517,/rfPkWSr1jAYMakLE9D9Lp5N1huu.jpg,2015-10-01,17671101,106,리그레션,리그레션,569,10990,11207,Roque Baños,/58bRLKnNL2KR4V36ql5vuhbEayx.jpg,/A3qzOvIUmJu6JicwDbrfCxax4c3.jpg,/yzhy4ieGWOaWnjUvSXURGQfceeI.jpg
