id,adult,budget,genres,original_title,overview,popularity,poster_path,release_date,revenue,runtime,tagline,title,actor_1,actor_2,actor_3,director,file_path_1,file_path_2,file_path_3
358,N/A,N/A,18,The Man Who Would Be King,"두 사기꾼 모험가 피치 카라한(Peachy Carnehan: 마이클 케인 분)과 다니엘 드래보트(Daniel Dravot: 숀 코넬리 분)는 인도에 주둔했던 영국 군인으로, 절도, 총기밀수, 협박 등 건달짓을 일삼다 인도에서 추방된 뒤 아프가니스탄 동부의 산악지대 카프리스탄 외지로 떠나 통치자 행세를 하기로 결심한다. 가혹한 기후를 이겨내며 힘들게 산을 넘은 두 사람은 아름다운 골짜기에 도착하고, 거기서 만난 빌리 피쉬와 함께 사제들의 보물을 훔쳐내려는 음모를 꾸민다. 그들 일행은 배교자들의 도시 시칸더굴을 습격하고, 그 와중에 다니엘이 가슴에 화살을 맞게 되지만 펜던트 덕분에 목숨을 건지게 된다. 이를 본 원주민들은 화살에 맞고도 죽지 않은 다니엘을 신이라고 믿게 되고, 알렉산더 대왕의 화신이 된 듯 한 다니엘은 그들에게 재산을 바칠 것을 요구한다. 다니엘은 점차 자기 기만적인 오만에 빠져들고 보물을 갖고 떠나기보다는 자신이 진짜 신이라고 믿기 시작한다. 원주민 여인과의 결혼까지 강행하는 다니엘. 그러나 신과 결혼한다는 두려움에 떨던 원주민 여인, 록산느는 다니엘의 얼굴을 물어뜯고, 다니엘의 얼굴에서 흐르는 피를 보고 그가 신이 아님을 알아챈 원주민들은 두 사람을 공격하기 시작하는데....",23.043,/21BANIzXEKyZDUFOr9NdUEgP4EA.jpg,1975-12-03,N/A,129,N/A,왕이 되려던 사나이,738,3895,290,John Huston,/gaGIei4Gd8xfS5E075yO7WzcoFH.jpg,/gvxrZMlCeR6j7LYZawHoDVoTtLW.jpg,/1Jgefbg5cKfCrppNbP0nPJm2TdR.jpg
359,N/A,65000000,10751,The Kid,"이기적이고 신경질적인 이미지 컨설턴트 러스 두리츠(브루스 윌리스)에게 어느 날 여덟 살적 자신-러스티-이 찾아온다. 러스티는 모던한 인테리어로 치장된 저택과 늘씬한 포르셰를 가진 자신의 미래에 만족하긴 커녕 마흔이 다 되도록 예쁜 아내도, 귀여운 강아지도 없는 삭막한 삶에 좌절하고 이를 바로잡고자 참견을 시작한다.",22.743,/yL97VpAmEGgilZwWYgIegIOCPJT.jpg,2000-07-07,69700000,104,N/A,키드,62,35654,1246,Stephen J. Eads,/Arx6cOLuB47jwldV7eW4Bt4kAmd.jpg,/bvGu9gXf1wmN5Cso2Bx4iXvxPoX.jpg,/yY7LE7aKyLkahzlhqyZ8F8sxmM2.jpg
360,N/A,47000000,9648,Arrival,"어느 날 전 세계 12개 지역에 외계 비행물체 셸이 동시다발로 출현한다. 450m에 달하는 거대 비행체가 가만히 서 있을 뿐 어떤 행동도 하지 않자 각국 정부는 각자의 방식으로 외계인과 접촉을 시작하지만, 완전히 다른 언어 체계 때문에 첫 단계부터 난항을 겪는다. 미국 정부의 요청을 받은 언어학자 루이스(에이미 애덤스)와 물리학자 이안(제레미 레너)은 말과 글이 통하지 않는 상황에서, 신체의 모든 기관과 감정을 이용해 미지의 생명체와 대화를 시도하고 서로의 문자를 배워나간다. 마침내 대화의 물꼬가 트이게 되지만 그때부터 루이스는 이해하기 어려운 환상을 연이어 보기 시작하는데...",29.91,/vzvixUzIEFVilocPy0vhVDqjs7Y.jpg,2016-11-10,203388186,116,15시간 내 그들이 온 이유를 밝혀야 한다,컨택트,9273,17604,2178,Denis Villeneuve,/yIZ1xendyqKvY3FGeeUYUd5X9Mm.jpg,/x3akjRHhZnIZx0EiQ3eOg66qoS9.jpg,/wFFlaVHmQG4U43m0l3eQqHZluvn.jpg
361,N/A,33000000,53,Se7en,"은퇴를 7일 앞둔 관록의 형사 윌리엄 소머셋(모건 프리먼)과 새로 전근 온 신참내기 형사 밀스(브래드 피트)가 팀이 된 바로 다음날, 강압에 의해 위가 찢어질 때까지 먹다가 죽은 초고도 비만 남자와 역시 강압에 의해 식칼로 자기 살을 베어내 죽은 악덕 변호사의 사건과 마주한다. 식탐, 탐욕, 그리고 나태, 분노, 교만, 욕정, 시기. 소머셋은 현장에 남은 흔적들로 단테의 신곡과 쵸서의 캔터베리 서사시를 근거로 한 기나긴 연쇄 살인이 시작되었음을 직감하고 성서의 7가지 죄악을 따라 발생하는 사건들을 추적하기 시작하는데...",22.642,/gH82OYYI5z3Ggc71sMdva98q5ON.jpg,1995-09-22,327311859,127,"계획적인 시나리오, 벗어날 수 없는 트릭",세븐,287,192,12052,Andrew Kevin Walker,/A0WKbRIojF9DUWG4XLCmg5JK6I5.jpg,/lnMuS6udGd7m5q6cQeeviceXxxc.jpg,/dk12UBZJqWlNtRsUCXYGAZZ0JXI.jpg
362,N/A,245000000,80,Spectre,스카이폴 사건 이후 MI6는 영국 정부에 의해 해체 위기에 놓인다.  자신의 과거와 관련된 암호를 추적하던 제임스 본드는  최악의 조직 ‘스펙터’와 자신이 관련되어 있다는 사실을 알게 되고 혼란스러워 하는데…,26.953,/2py08R2FxhLceUsn3BWaubH4aPn.jpg,2015-10-26,880674609,148,최악의 적 스펙터와 연관된 제임스 본드의 과거 그리고 그 속에 숨겨진 거대한 비밀!,007 스펙터,8784,27319,121529,Luca Marco Paracels,/wVTYlkKPKrljJfugXN7UlLNjtuJ.jpg,/ohKncfyZi0NLR1oyyz7ETRnxxWd.jpg,/plxJs4AolooP2DvZ1zvtnDNQnAc.jpg
363,N/A,N/A,18,Glory Road,"미국에서 흑인에 대한 인종차별이 만연하던 1960년대 미국 남부 텍사스주 만년 농구 하위 팀인 텍사스 웨스턴 대학의 농구팀 마이너스에 던 해스킨스 감독이 부임한다. 그는 부임하자마자 마이너스 팀을 대학 최강팀으로 만들기 위해서 뛰어난 기량을 갖춘 선수들을 스카우트하려고 한다. 그러나 우수한 선수들은 별볼일 없는 텍사스의 작은 대학에 오길 꺼려하고, 던 감독은 뛰어난 기량을 갖춘 흑인들을 발굴해서 스카웃을 제안한다. 당시 사회 분위기로 봐서는 감히 상상할 수 없는 일이었지만 젊고 패기에 가득찬 던 감독은 학교측을 설득해서 흑인 선수를 스카우트하는데 성공한다. 그러나 산 넘어 산이라고, 던 감독은 이들을 스카우트한 뒤에도 기존 멤버인 백인 선수들과 흑인 선수들을 하나로 융합시키는 것에서부터 화려한 개인기에 익숙한 흑인 선수들에게 착실한 기본기로 연습 시키는 것까지 무엇 하나 결코 만만한 것이 없다는 것을 깨닫게 된다. 그러나 던 해스킨스 감독의 탁월한 지도력과 선수들의 피나는 노력으로 하나가 된 이들은 마침내 1966년 미국대학농구 토너먼트에 진출해서 당시 대학 농구의 명문 팀이었던 켄터기 대학과 결승전에서 맞붙게 되는데...",25.042,/bGRSV5tStxDNPRLCewnOeeiZzrY.jpg,2006-01-13,42647449,117,N/A,글로리 로드,6164,15543,10127,Pat Sandston,N/A,N/A,N/A
364,N/A,29000000,18,Florence Foster Jenkins,"세상에서 누구보다 노래를 좋아하지만 자신이 음치인 줄 모르는 귀여운 음치 소프라노 플로렌스  그녀의 남편이자 플로렌스가 공연을 할 때마다 악평을 막느라 바쁜 사고 전담 매니저 베이필드  플로렌스의 노래에 충격을 받았지만 어느새 피아노를 치고 있는 음치 맞춤형 연주자 맥문  플로렌스는 자신감 하나로 세계 최고의 무대인 카네기홀 공연을 선언하고,  그녀의 어마어마한 도전 앞에 베이필드와 맥문은 새로운 미션을 맞닥뜨리게 되는데…  과연 이들은 무사히, 성공적으로 공연을 치를 수 있을까?",22.803,/sHF1QOzj77u6rWnAj55azF9wJQw.jpg,2016-05-06,48902953,110,"세상에 안 되는 게 어딨어? 음치 소프라노, 사고전담 매니저, 음치맞춤형 연주자 1%의 재능과 99%의 자신감으로 카네기홀에 서다!",플로렌스,5064,3291,53863,Stephen Frears,/gapMjTo1i5IY17HrqRCugVw8VEi.jpg,/smH2oiJroAtTBJ30ldVfFTNhehc.jpg,/x5zHw4qTZ1aP4Lrcv49coRluvxr.jpg
365,N/A,25100000,36,W.,N/A,22.09,/upFQuRzN23kLvzO1brSFClLqZvV.jpg,2008-10-17,29506464,131,N/A,W.,16851,9281,13014,Oliver Stone,/kBb9XuEfRPRO9BajTAyIk0SxBm8.jpg,/pkmhPhNfVlTV50wTd2r3NbfbuL1.jpg,/sgE1eeSkPpFjBaN73Dimckbml8J.jpg
366,N/A,18000000,35,Under the Tuscan Sun,"베스트 셀러 작가인 프란시스는 한 순간에 남편으로부터 이혼당하고, 집까지 빼앗긴다. 희망이라고는 눈꼽만치도 찾아볼 수 없던 그녀에게 친구 패티가 건네준 이탈리아 여행 티켓. 무작정 떠난 그곳에서 기적처럼 캐서린이라는 여자를 알게 되고, 얼떨결에 '브라마솔레'라는 이름의 빌라를 구입한다. 그런데 300년이나 된 이 빌라는 손볼 곳이 한두 군데가 아니다. 집을 소개해 준 부동산업체 마티니는 집을 수리해 줄 인부들을 소개시켜 주고, 프란시스는 인부들과 마을 사람들과 집 꾸미기에 여념이 없다.  그러나 여전히 외로운 그녀는 신비로운 여인 캐서린과 기적 같은 미소의 마르첼로를 만나게 되는데... 과연 그녀의 태양은 다시 높이 솟아 오를 수 있을 것인가?",25.037,/7VnGRI5TlAQWLEcpMibnA3jUehg.jpg,2003-09-20,58878723,113,N/A,투스카니의 태양,2882,25540,30083,Audrey Wells,/rIAAfzmooIehwrmqVkXDBcBUFtt.jpg,/781m92R7cz8MAqg9SA8Nvg5Rpzu.jpg,/igwOjdBqtDCfQZ14X0kbrsJ7uZi.jpg
367,N/A,28000000,53,Laws of Attraction,N/A,20.836,/raE9gFRS2oH4jBBjwIJvJresOQn.jpg,2004-04-04,30016165,90,N/A,Laws of Attraction,517,1231,3968,Tim Cavagin,/5o5rohAaZf1dggiMC1fcWuSucMS.jpg,/AbBF5kCmvHCqhKfasp0GTvbZafM.jpg,/j0YjL0qF7ICSybShsuhAiLMXRV9.jpg
